Order23	POAexemptCode	Description
44910	S52.099S	"Other fracture of upper end of unspecified ulna, sequela"
44917	S52.101D	"Unspecified fracture of upper end of right radius, subsequent encounter for closed fracture with routine healing"
44918	S52.101E	"Unspecified fracture of upper end of right radius, subsequent encounter for open fracture type I or II with routine healing"
44919	S52.101F	"Unspecified fracture of upper end of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
44920	S52.101G	"Unspecified fracture of upper end of right radius, subsequent encounter for closed fracture with delayed healing"
44921	S52.101H	"Unspecified fracture of upper end of right radius, subsequent encounter for open fracture type I or II with delayed healing"
44922	S52.101J	"Unspecified fracture of upper end of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
44923	S52.101K	"Unspecified fracture of upper end of right radius, subsequent encounter for closed fracture with nonunion"
44924	S52.101M	"Unspecified fracture of upper end of right radius, subsequent encounter for open fracture type I or II with nonunion"
44925	S52.101N	"Unspecified fracture of upper end of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
44926	S52.101P	"Unspecified fracture of upper end of right radius, subsequent encounter for closed fracture with malunion"
44927	S52.101Q	"Unspecified fracture of upper end of right radius, subsequent encounter for open fracture type I or II with malunion"
44928	S52.101R	"Unspecified fracture of upper end of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
44929	S52.101S	"Unspecified fracture of upper end of right radius, sequela"
44934	S52.102D	"Unspecified fracture of upper end of left radius, subsequent encounter for closed fracture with routine healing"
44935	S52.102E	"Unspecified fracture of upper end of left radius, subsequent encounter for open fracture type I or II with routine healing"
44936	S52.102F	"Unspecified fracture of upper end of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
44937	S52.102G	"Unspecified fracture of upper end of left radius, subsequent encounter for closed fracture with delayed healing"
44938	S52.102H	"Unspecified fracture of upper end of left radius, subsequent encounter for open fracture type I or II with delayed healing"
44939	S52.102J	"Unspecified fracture of upper end of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
44940	S52.102K	"Unspecified fracture of upper end of left radius, subsequent encounter for closed fracture with nonunion"
44941	S52.102M	"Unspecified fracture of upper end of left radius, subsequent encounter for open fracture type I or II with nonunion"
44942	S52.102N	"Unspecified fracture of upper end of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
44943	S52.102P	"Unspecified fracture of upper end of left radius, subsequent encounter for closed fracture with malunion"
44944	S52.102Q	"Unspecified fracture of upper end of left radius, subsequent encounter for open fracture type I or II with malunion"
44945	S52.102R	"Unspecified fracture of upper end of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
44946	S52.102S	"Unspecified fracture of upper end of left radius, sequela"
44951	S52.109D	"Unspecified fracture of upper end of unspecified radius, subsequent encounter for closed fracture with routine healing"
44952	S52.109E	"Unspecified fracture of upper end of unspecified radius, subsequent encounter for open fracture type I or II with routine healing"
44953	S52.109F	"Unspecified fracture of upper end of unspecified radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
44954	S52.109G	"Unspecified fracture of upper end of unspecified radius, subsequent encounter for closed fracture with delayed healing"
44955	S52.109H	"Unspecified fracture of upper end of unspecified radius, subsequent encounter for open fracture type I or II with delayed healing"
44956	S52.109J	"Unspecified fracture of upper end of unspecified radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
44957	S52.109K	"Unspecified fracture of upper end of unspecified radius, subsequent encounter for closed fracture with nonunion"
44958	S52.109M	"Unspecified fracture of upper end of unspecified radius, subsequent encounter for open fracture type I or II with nonunion"
44959	S52.109N	"Unspecified fracture of upper end of unspecified radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
44960	S52.109P	"Unspecified fracture of upper end of unspecified radius, subsequent encounter for closed fracture with malunion"
44961	S52.109Q	"Unspecified fracture of upper end of unspecified radius, subsequent encounter for open fracture type I or II with malunion"
44962	S52.109R	"Unspecified fracture of upper end of unspecified radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
44963	S52.109S	"Unspecified fracture of upper end of unspecified radius, sequela"
44967	S52.111D	"Torus fracture of upper end of right radius, subsequent encounter for fracture with routine healing"
44968	S52.111G	"Torus fracture of upper end of right radius, subsequent encounter for fracture with delayed healing"
44969	S52.111K	"Torus fracture of upper end of right radius, subsequent encounter for fracture with nonunion"
44970	S52.111P	"Torus fracture of upper end of right radius, subsequent encounter for fracture with malunion"
44971	S52.111S	"Torus fracture of upper end of right radius, sequela"
44974	S52.112D	"Torus fracture of upper end of left radius, subsequent encounter for fracture with routine healing"
44975	S52.112G	"Torus fracture of upper end of left radius, subsequent encounter for fracture with delayed healing"
44976	S52.112K	"Torus fracture of upper end of left radius, subsequent encounter for fracture with nonunion"
44977	S52.112P	"Torus fracture of upper end of left radius, subsequent encounter for fracture with malunion"
44978	S52.112S	"Torus fracture of upper end of left radius, sequela"
44981	S52.119D	"Torus fracture of upper end of unspecified radius, subsequent encounter for fracture with routine healing"
44982	S52.119G	"Torus fracture of upper end of unspecified radius, subsequent encounter for fracture with delayed healing"
44983	S52.119K	"Torus fracture of upper end of unspecified radius, subsequent encounter for fracture with nonunion"
44984	S52.119P	"Torus fracture of upper end of unspecified radius, subsequent encounter for fracture with malunion"
44985	S52.119S	"Torus fracture of upper end of unspecified radius, sequela"
44991	S52.121D	"Displaced fracture of head of right radius, subsequent encounter for closed fracture with routine healing"
44992	S52.121E	"Displaced fracture of head of right radius, subsequent encounter for open fracture type I or II with routine healing"
44993	S52.121F	"Displaced fracture of head of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
44994	S52.121G	"Displaced fracture of head of right radius, subsequent encounter for closed fracture with delayed healing"
44995	S52.121H	"Displaced fracture of head of right radius, subsequent encounter for open fracture type I or II with delayed healing"
44996	S52.121J	"Displaced fracture of head of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
44997	S52.121K	"Displaced fracture of head of right radius, subsequent encounter for closed fracture with nonunion"
44998	S52.121M	"Displaced fracture of head of right radius, subsequent encounter for open fracture type I or II with nonunion"
44999	S52.121N	"Displaced fracture of head of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
45000	S52.121P	"Displaced fracture of head of right radius, subsequent encounter for closed fracture with malunion"
45001	S52.121Q	"Displaced fracture of head of right radius, subsequent encounter for open fracture type I or II with malunion"
45002	S52.121R	"Displaced fracture of head of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
45003	S52.121S	"Displaced fracture of head of right radius, sequela"
45008	S52.122D	"Displaced fracture of head of left radius, subsequent encounter for closed fracture with routine healing"
45009	S52.122E	"Displaced fracture of head of left radius, subsequent encounter for open fracture type I or II with routine healing"
45010	S52.122F	"Displaced fracture of head of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
45011	S52.122G	"Displaced fracture of head of left radius, subsequent encounter for closed fracture with delayed healing"
45012	S52.122H	"Displaced fracture of head of left radius, subsequent encounter for open fracture type I or II with delayed healing"
45013	S52.122J	"Displaced fracture of head of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
45014	S52.122K	"Displaced fracture of head of left radius, subsequent encounter for closed fracture with nonunion"
45015	S52.122M	"Displaced fracture of head of left radius, subsequent encounter for open fracture type I or II with nonunion"
45016	S52.122N	"Displaced fracture of head of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
45017	S52.122P	"Displaced fracture of head of left radius, subsequent encounter for closed fracture with malunion"
45018	S52.122Q	"Displaced fracture of head of left radius, subsequent encounter for open fracture type I or II with malunion"
45019	S52.122R	"Displaced fracture of head of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
45020	S52.122S	"Displaced fracture of head of left radius, sequela"
45025	S52.123D	"Displaced fracture of head of unspecified radius, subsequent encounter for closed fracture with routine healing"
45026	S52.123E	"Displaced fracture of head of unspecified radius, subsequent encounter for open fracture type I or II with routine healing"
45027	S52.123F	"Displaced fracture of head of unspecified radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
45028	S52.123G	"Displaced fracture of head of unspecified radius, subsequent encounter for closed fracture with delayed healing"
45029	S52.123H	"Displaced fracture of head of unspecified radius, subsequent encounter for open fracture type I or II with delayed healing"
45030	S52.123J	"Displaced fracture of head of unspecified radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
45031	S52.123K	"Displaced fracture of head of unspecified radius, subsequent encounter for closed fracture with nonunion"
45032	S52.123M	"Displaced fracture of head of unspecified radius, subsequent encounter for open fracture type I or II with nonunion"
45033	S52.123N	"Displaced fracture of head of unspecified radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
45034	S52.123P	"Displaced fracture of head of unspecified radius, subsequent encounter for closed fracture with malunion"
45035	S52.123Q	"Displaced fracture of head of unspecified radius, subsequent encounter for open fracture type I or II with malunion"
45036	S52.123R	"Displaced fracture of head of unspecified radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
45037	S52.123S	"Displaced fracture of head of unspecified radius, sequela"
45042	S52.124D	"Nondisplaced fracture of head of right radius, subsequent encounter for closed fracture with routine healing"
45043	S52.124E	"Nondisplaced fracture of head of right radius, subsequent encounter for open fracture type I or II with routine healing"
45044	S52.124F	"Nondisplaced fracture of head of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
45045	S52.124G	"Nondisplaced fracture of head of right radius, subsequent encounter for closed fracture with delayed healing"
45046	S52.124H	"Nondisplaced fracture of head of right radius, subsequent encounter for open fracture type I or II with delayed healing"
45047	S52.124J	"Nondisplaced fracture of head of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
45048	S52.124K	"Nondisplaced fracture of head of right radius, subsequent encounter for closed fracture with nonunion"
45049	S52.124M	"Nondisplaced fracture of head of right radius, subsequent encounter for open fracture type I or II with nonunion"
45050	S52.124N	"Nondisplaced fracture of head of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
45051	S52.124P	"Nondisplaced fracture of head of right radius, subsequent encounter for closed fracture with malunion"
45052	S52.124Q	"Nondisplaced fracture of head of right radius, subsequent encounter for open fracture type I or II with malunion"
45053	S52.124R	"Nondisplaced fracture of head of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
45054	S52.124S	"Nondisplaced fracture of head of right radius, sequela"
45059	S52.125D	"Nondisplaced fracture of head of left radius, subsequent encounter for closed fracture with routine healing"
45060	S52.125E	"Nondisplaced fracture of head of left radius, subsequent encounter for open fracture type I or II with routine healing"
45061	S52.125F	"Nondisplaced fracture of head of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
45062	S52.125G	"Nondisplaced fracture of head of left radius, subsequent encounter for closed fracture with delayed healing"
45063	S52.125H	"Nondisplaced fracture of head of left radius, subsequent encounter for open fracture type I or II with delayed healing"
45064	S52.125J	"Nondisplaced fracture of head of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
45065	S52.125K	"Nondisplaced fracture of head of left radius, subsequent encounter for closed fracture with nonunion"
45066	S52.125M	"Nondisplaced fracture of head of left radius, subsequent encounter for open fracture type I or II with nonunion"
45067	S52.125N	"Nondisplaced fracture of head of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
45068	S52.125P	"Nondisplaced fracture of head of left radius, subsequent encounter for closed fracture with malunion"
45069	S52.125Q	"Nondisplaced fracture of head of left radius, subsequent encounter for open fracture type I or II with malunion"
45070	S52.125R	"Nondisplaced fracture of head of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
45071	S52.125S	"Nondisplaced fracture of head of left radius, sequela"
45076	S52.126D	"Nondisplaced fracture of head of unspecified radius, subsequent encounter for closed fracture with routine healing"
45077	S52.126E	"Nondisplaced fracture of head of unspecified radius, subsequent encounter for open fracture type I or II with routine healing"
45078	S52.126F	"Nondisplaced fracture of head of unspecified radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
45079	S52.126G	"Nondisplaced fracture of head of unspecified radius, subsequent encounter for closed fracture with delayed healing"
45080	S52.126H	"Nondisplaced fracture of head of unspecified radius, subsequent encounter for open fracture type I or II with delayed healing"
45081	S52.126J	"Nondisplaced fracture of head of unspecified radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
45082	S52.126K	"Nondisplaced fracture of head of unspecified radius, subsequent encounter for closed fracture with nonunion"
45083	S52.126M	"Nondisplaced fracture of head of unspecified radius, subsequent encounter for open fracture type I or II with nonunion"
45084	S52.126N	"Nondisplaced fracture of head of unspecified radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
45085	S52.126P	"Nondisplaced fracture of head of unspecified radius, subsequent encounter for closed fracture with malunion"
45086	S52.126Q	"Nondisplaced fracture of head of unspecified radius, subsequent encounter for open fracture type I or II with malunion"
45087	S52.126R	"Nondisplaced fracture of head of unspecified radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
45088	S52.126S	"Nondisplaced fracture of head of unspecified radius, sequela"
45094	S52.131D	"Displaced fracture of neck of right radius, subsequent encounter for closed fracture with routine healing"
45095	S52.131E	"Displaced fracture of neck of right radius, subsequent encounter for open fracture type I or II with routine healing"
45096	S52.131F	"Displaced fracture of neck of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
45097	S52.131G	"Displaced fracture of neck of right radius, subsequent encounter for closed fracture with delayed healing"
45098	S52.131H	"Displaced fracture of neck of right radius, subsequent encounter for open fracture type I or II with delayed healing"
45099	S52.131J	"Displaced fracture of neck of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
45100	S52.131K	"Displaced fracture of neck of right radius, subsequent encounter for closed fracture with nonunion"
45101	S52.131M	"Displaced fracture of neck of right radius, subsequent encounter for open fracture type I or II with nonunion"
45102	S52.131N	"Displaced fracture of neck of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
45103	S52.131P	"Displaced fracture of neck of right radius, subsequent encounter for closed fracture with malunion"
45104	S52.131Q	"Displaced fracture of neck of right radius, subsequent encounter for open fracture type I or II with malunion"
45105	S52.131R	"Displaced fracture of neck of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
45106	S52.131S	"Displaced fracture of neck of right radius, sequela"
45111	S52.132D	"Displaced fracture of neck of left radius, subsequent encounter for closed fracture with routine healing"
45112	S52.132E	"Displaced fracture of neck of left radius, subsequent encounter for open fracture type I or II with routine healing"
45113	S52.132F	"Displaced fracture of neck of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
45114	S52.132G	"Displaced fracture of neck of left radius, subsequent encounter for closed fracture with delayed healing"
45115	S52.132H	"Displaced fracture of neck of left radius, subsequent encounter for open fracture type I or II with delayed healing"
45116	S52.132J	"Displaced fracture of neck of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
45117	S52.132K	"Displaced fracture of neck of left radius, subsequent encounter for closed fracture with nonunion"
45118	S52.132M	"Displaced fracture of neck of left radius, subsequent encounter for open fracture type I or II with nonunion"
45119	S52.132N	"Displaced fracture of neck of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
45120	S52.132P	"Displaced fracture of neck of left radius, subsequent encounter for closed fracture with malunion"
45121	S52.132Q	"Displaced fracture of neck of left radius, subsequent encounter for open fracture type I or II with malunion"
45122	S52.132R	"Displaced fracture of neck of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
45123	S52.132S	"Displaced fracture of neck of left radius, sequela"
45128	S52.133D	"Displaced fracture of neck of unspecified radius, subsequent encounter for closed fracture with routine healing"
45129	S52.133E	"Displaced fracture of neck of unspecified radius, subsequent encounter for open fracture type I or II with routine healing"
45130	S52.133F	"Displaced fracture of neck of unspecified radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
45131	S52.133G	"Displaced fracture of neck of unspecified radius, subsequent encounter for closed fracture with delayed healing"
45132	S52.133H	"Displaced fracture of neck of unspecified radius, subsequent encounter for open fracture type I or II with delayed healing"
45133	S52.133J	"Displaced fracture of neck of unspecified radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
45134	S52.133K	"Displaced fracture of neck of unspecified radius, subsequent encounter for closed fracture with nonunion"
45135	S52.133M	"Displaced fracture of neck of unspecified radius, subsequent encounter for open fracture type I or II with nonunion"
45136	S52.133N	"Displaced fracture of neck of unspecified radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
45137	S52.133P	"Displaced fracture of neck of unspecified radius, subsequent encounter for closed fracture with malunion"
45138	S52.133Q	"Displaced fracture of neck of unspecified radius, subsequent encounter for open fracture type I or II with malunion"
45139	S52.133R	"Displaced fracture of neck of unspecified radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
45140	S52.133S	"Displaced fracture of neck of unspecified radius, sequela"
45145	S52.134D	"Nondisplaced fracture of neck of right radius, subsequent encounter for closed fracture with routine healing"
45146	S52.134E	"Nondisplaced fracture of neck of right radius, subsequent encounter for open fracture type I or II with routine healing"
45147	S52.134F	"Nondisplaced fracture of neck of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
45148	S52.134G	"Nondisplaced fracture of neck of right radius, subsequent encounter for closed fracture with delayed healing"
45149	S52.134H	"Nondisplaced fracture of neck of right radius, subsequent encounter for open fracture type I or II with delayed healing"
45150	S52.134J	"Nondisplaced fracture of neck of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
45151	S52.134K	"Nondisplaced fracture of neck of right radius, subsequent encounter for closed fracture with nonunion"
45152	S52.134M	"Nondisplaced fracture of neck of right radius, subsequent encounter for open fracture type I or II with nonunion"
45153	S52.134N	"Nondisplaced fracture of neck of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
45154	S52.134P	"Nondisplaced fracture of neck of right radius, subsequent encounter for closed fracture with malunion"
45155	S52.134Q	"Nondisplaced fracture of neck of right radius, subsequent encounter for open fracture type I or II with malunion"
45156	S52.134R	"Nondisplaced fracture of neck of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
45157	S52.134S	"Nondisplaced fracture of neck of right radius, sequela"
45162	S52.135D	"Nondisplaced fracture of neck of left radius, subsequent encounter for closed fracture with routine healing"
45163	S52.135E	"Nondisplaced fracture of neck of left radius, subsequent encounter for open fracture type I or II with routine healing"
45164	S52.135F	"Nondisplaced fracture of neck of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
45165	S52.135G	"Nondisplaced fracture of neck of left radius, subsequent encounter for closed fracture with delayed healing"
45166	S52.135H	"Nondisplaced fracture of neck of left radius, subsequent encounter for open fracture type I or II with delayed healing"
45167	S52.135J	"Nondisplaced fracture of neck of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
45168	S52.135K	"Nondisplaced fracture of neck of left radius, subsequent encounter for closed fracture with nonunion"
45169	S52.135M	"Nondisplaced fracture of neck of left radius, subsequent encounter for open fracture type I or II with nonunion"
45170	S52.135N	"Nondisplaced fracture of neck of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
45171	S52.135P	"Nondisplaced fracture of neck of left radius, subsequent encounter for closed fracture with malunion"
45172	S52.135Q	"Nondisplaced fracture of neck of left radius, subsequent encounter for open fracture type I or II with malunion"
45173	S52.135R	"Nondisplaced fracture of neck of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
45174	S52.135S	"Nondisplaced fracture of neck of left radius, sequela"
45179	S52.136D	"Nondisplaced fracture of neck of unspecified radius, subsequent encounter for closed fracture with routine healing"
45180	S52.136E	"Nondisplaced fracture of neck of unspecified radius, subsequent encounter for open fracture type I or II with routine healing"
45181	S52.136F	"Nondisplaced fracture of neck of unspecified radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
45182	S52.136G	"Nondisplaced fracture of neck of unspecified radius, subsequent encounter for closed fracture with delayed healing"
45183	S52.136H	"Nondisplaced fracture of neck of unspecified radius, subsequent encounter for open fracture type I or II with delayed healing"
45184	S52.136J	"Nondisplaced fracture of neck of unspecified radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
45185	S52.136K	"Nondisplaced fracture of neck of unspecified radius, subsequent encounter for closed fracture with nonunion"
45186	S52.136M	"Nondisplaced fracture of neck of unspecified radius, subsequent encounter for open fracture type I or II with nonunion"
45187	S52.136N	"Nondisplaced fracture of neck of unspecified radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
45188	S52.136P	"Nondisplaced fracture of neck of unspecified radius, subsequent encounter for closed fracture with malunion"
45189	S52.136Q	"Nondisplaced fracture of neck of unspecified radius, subsequent encounter for open fracture type I or II with malunion"
45190	S52.136R	"Nondisplaced fracture of neck of unspecified radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
45191	S52.136S	"Nondisplaced fracture of neck of unspecified radius, sequela"
45197	S52.181D	"Other fracture of upper end of right radius, subsequent encounter for closed fracture with routine healing"
45198	S52.181E	"Other fracture of upper end of right radius, subsequent encounter for open fracture type I or II with routine healing"
45199	S52.181F	"Other fracture of upper end of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
45200	S52.181G	"Other fracture of upper end of right radius, subsequent encounter for closed fracture with delayed healing"
45201	S52.181H	"Other fracture of upper end of right radius, subsequent encounter for open fracture type I or II with delayed healing"
45202	S52.181J	"Other fracture of upper end of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
45203	S52.181K	"Other fracture of upper end of right radius, subsequent encounter for closed fracture with nonunion"
45204	S52.181M	"Other fracture of upper end of right radius, subsequent encounter for open fracture type I or II with nonunion"
45205	S52.181N	"Other fracture of upper end of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
45206	S52.181P	"Other fracture of upper end of right radius, subsequent encounter for closed fracture with malunion"
45207	S52.181Q	"Other fracture of upper end of right radius, subsequent encounter for open fracture type I or II with malunion"
45208	S52.181R	"Other fracture of upper end of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
45209	S52.181S	"Other fracture of upper end of right radius, sequela"
45214	S52.182D	"Other fracture of upper end of left radius, subsequent encounter for closed fracture with routine healing"
45215	S52.182E	"Other fracture of upper end of left radius, subsequent encounter for open fracture type I or II with routine healing"
45216	S52.182F	"Other fracture of upper end of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
45217	S52.182G	"Other fracture of upper end of left radius, subsequent encounter for closed fracture with delayed healing"
45218	S52.182H	"Other fracture of upper end of left radius, subsequent encounter for open fracture type I or II with delayed healing"
45219	S52.182J	"Other fracture of upper end of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
45220	S52.182K	"Other fracture of upper end of left radius, subsequent encounter for closed fracture with nonunion"
45221	S52.182M	"Other fracture of upper end of left radius, subsequent encounter for open fracture type I or II with nonunion"
45222	S52.182N	"Other fracture of upper end of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
45223	S52.182P	"Other fracture of upper end of left radius, subsequent encounter for closed fracture with malunion"
45224	S52.182Q	"Other fracture of upper end of left radius, subsequent encounter for open fracture type I or II with malunion"
45225	S52.182R	"Other fracture of upper end of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
45226	S52.182S	"Other fracture of upper end of left radius, sequela"
45231	S52.189D	"Other fracture of upper end of unspecified radius, subsequent encounter for closed fracture with routine healing"
45232	S52.189E	"Other fracture of upper end of unspecified radius, subsequent encounter for open fracture type I or II with routine healing"
45233	S52.189F	"Other fracture of upper end of unspecified radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
45234	S52.189G	"Other fracture of upper end of unspecified radius, subsequent encounter for closed fracture with delayed healing"
45235	S52.189H	"Other fracture of upper end of unspecified radius, subsequent encounter for open fracture type I or II with delayed healing"
45236	S52.189J	"Other fracture of upper end of unspecified radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
45237	S52.189K	"Other fracture of upper end of unspecified radius, subsequent encounter for closed fracture with nonunion"
45238	S52.189M	"Other fracture of upper end of unspecified radius, subsequent encounter for open fracture type I or II with nonunion"
45239	S52.189N	"Other fracture of upper end of unspecified radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
45240	S52.189P	"Other fracture of upper end of unspecified radius, subsequent encounter for closed fracture with malunion"
45241	S52.189Q	"Other fracture of upper end of unspecified radius, subsequent encounter for open fracture type I or II with malunion"
45242	S52.189R	"Other fracture of upper end of unspecified radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
45243	S52.189S	"Other fracture of upper end of unspecified radius, sequela"
45250	S52.201D	"Unspecified fracture of shaft of right ulna, subsequent encounter for closed fracture with routine healing"
45251	S52.201E	"Unspecified fracture of shaft of right ulna, subsequent encounter for open fracture type I or II with routine healing"
45252	S52.201F	"Unspecified fracture of shaft of right ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
45253	S52.201G	"Unspecified fracture of shaft of right ulna, subsequent encounter for closed fracture with delayed healing"
45254	S52.201H	"Unspecified fracture of shaft of right ulna, subsequent encounter for open fracture type I or II with delayed healing"
45255	S52.201J	"Unspecified fracture of shaft of right ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
45256	S52.201K	"Unspecified fracture of shaft of right ulna, subsequent encounter for closed fracture with nonunion"
45257	S52.201M	"Unspecified fracture of shaft of right ulna, subsequent encounter for open fracture type I or II with nonunion"
45258	S52.201N	"Unspecified fracture of shaft of right ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
45259	S52.201P	"Unspecified fracture of shaft of right ulna, subsequent encounter for closed fracture with malunion"
45260	S52.201Q	"Unspecified fracture of shaft of right ulna, subsequent encounter for open fracture type I or II with malunion"
45261	S52.201R	"Unspecified fracture of shaft of right ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
45262	S52.201S	"Unspecified fracture of shaft of right ulna, sequela"
45267	S52.202D	"Unspecified fracture of shaft of left ulna, subsequent encounter for closed fracture with routine healing"
45268	S52.202E	"Unspecified fracture of shaft of left ulna, subsequent encounter for open fracture type I or II with routine healing"
45269	S52.202F	"Unspecified fracture of shaft of left ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
45270	S52.202G	"Unspecified fracture of shaft of left ulna, subsequent encounter for closed fracture with delayed healing"
45271	S52.202H	"Unspecified fracture of shaft of left ulna, subsequent encounter for open fracture type I or II with delayed healing"
45272	S52.202J	"Unspecified fracture of shaft of left ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
45273	S52.202K	"Unspecified fracture of shaft of left ulna, subsequent encounter for closed fracture with nonunion"
45274	S52.202M	"Unspecified fracture of shaft of left ulna, subsequent encounter for open fracture type I or II with nonunion"
45275	S52.202N	"Unspecified fracture of shaft of left ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
45276	S52.202P	"Unspecified fracture of shaft of left ulna, subsequent encounter for closed fracture with malunion"
45277	S52.202Q	"Unspecified fracture of shaft of left ulna, subsequent encounter for open fracture type I or II with malunion"
